كود الصنف;اسم الصنف;المجموعة;السعر;النقاط 
RA-F1001016;وحدة انارة داون لايت مخفي 30 وات ابيض -  6500K;داون ALUM;21.5;5
RA-F1001017;وحدة انارة داون لايت مخفي 30 وات اصفر -  3000K;داون ALUM;21.5;5
RA-F1001018;وحدة انارة داون لايت مخفي 30 وات شمسي -  4000K;داون ALUM;21.5;5
RA-F1001019;وحدة انارة داون لايت مخفي 40 وات ابيض -  6500K;داون ALUM;34;8
RA-F1001020;وحدة انارة داون لايت مخفي 40 وات اصفر -  3000K;داون ALUM;34;8
RA-F1001021;وحدة انارة داون لايت مخفي 40 وات شمسي -  4000K;داون ALUM;34;8
RA-F1001022;وحدة انارة داون لايت مخفي 50 وات ابيض -  6500K;داون ALUM;41.5;10
RA-F1001023;وحدة انارة داون لايت مخفي 50 وات اصفر -  3000K;داون ALUM;41.5;10
RA-F1001024;وحدة انارة داون لايت مخفي 50 وات شمسي -  4000K;داون ALUM;41.5;10
RA-F1001025;وحدة انارة داون لايت مخفي 60 وات ابيض -  6500K;داون ALUM;64;15
RA-F1001026;وحدة انارة داون لايت مخفي 60 وات اصفر -  3000K;داون ALUM;64;15
RA-F1001027;وحدة انارة داون لايت مخفي 60 وات شمسي -  4000K;داون ALUM;64;15
RA-F1001028;وحدة انارة داون لايت مخفي 80 وات ابيض -  6500K;داون ALUM;75.25;20
RA-F1001029;وحدة انارة داون لايت مخفي 80 وات اصفر -  3000K;داون ALUM;75.25;20
RA-F1001101;وحدة انارة داون لايت مخفي 7 وات 6500K - جرم اسود;داون ALUM;8.25;2
RA-F1001102;وحدة انارة داون لايت مخفي 7 وات 3000K - جرم اسود;داون ALUM;8.25;2
RA-F1001103;وحدة انارة داون لايت مخفي 7 وات 4000K - جرم اسود;داون ALUM;8.25;2
RA-F1001104;وحدة انارة داون لايت مخفي 10 وات 6500K - جرم اسود;داون ALUM;11.75;3
RA-F1001105;وحدة انارة داون لايت مخفي 10 وات 3000K - جرم اسود;داون ALUM;11.75;3
RA-F1001106;وحدة انارة داون لايت مخفي 10 وات 4000K - جرم اسود;داون ALUM;11.75;3
RA-F1001107;وحدة انارة داون لايت مخفي 15 وات 6500K - جرم اسود;داون ALUM;14;3
RA-F1001108;وحدة انارة داون لايت مخفي 15 وات 3000K - جرم اسود;داون ALUM;14;3
RA-F1001109;وحدة انارة داون لايت مخفي 15 وات 4000K - جرم اسود;داون ALUM;14;3
RA-F1001110;وحدة انارة داون لايت مخفي 30 وات 6500K - جرم اسود;داون ALUM;21.5;5
RA-F1001111;وحدة انارة داون لايت مخفي 30 وات 3000K - جرم اسود;داون ALUM;21.5;5
RA-F1001112;وحدة انارة داون لايت مخفي 30 وات 4000K - جرم اسود;داون ALUM;21.5;5
